teamId,totalWins,defRedZoneFGs,seed,off2PtConv,off2PtConvPct,offPassYds,defRedZonePct,offPtsPerGame,offFumLost,totalLosses,defPassYds,offRushTDs,defRedZones,tODiff,offTotalYds,off4thDownConvPct,penaltyYds,statId,totalTies,off3rdDownConvPct,off3rdDownAtt,off1stDowns,offRedZoneTDs,off2PtAtt,offRushYds,defFumRec,defPtsPerGame,weekIndex,offRedZoneFGs,offTotalYdsGained,defRushYds,tOTakeaways,offSacks,defIntsRec,off4thDownAtt,offIntsLost,off4thDownConv,offRedZones,scheduleId,defForcedFum,defSacks,defRedZoneTDs,offRedZonePct,offPassTDs,defTotalYds,off3rdDownConv,penalties,seasonIndex,stageIndex,tOGiveaways
758644771,1,0,12,0,0,292,42.8571,25.2,0,4,241,1,7,-2,343,100,10,537919493,0,55.5556,9,18,1,0,51,0,30.8,0,2,553,88,0,1,0,1,2,1,6,543031549,0,0,3,50,1,329,5,2,3,1,2
758644742,4,2,5,0,0,241,50,35,0,2,292,2,6,2,329,0,0,537920023,0,83.3333,6,18,3,0,88,0,39.3333,0,0,413,51,2,0,2,0,0,0,7,543031549,0,1,1,42.8571,3,343,5,0,3,1,0
758644766,1,1,13,0,0,299,50,19.6,0,4,347,1,4,2,340,66.6667,0,537920326,0,58.3333,12,19,1,0,41,1,36.6,0,0,447,41,3,1,2,3,1,2,3,543031564,1,2,1,33.3333,2,388,7,0,3,1,1
758644738,0,0,15,0,0,347,33.3333,16.8,1,5,299,1,3,-2,388,0,0,537919780,0,55.5556,9,18,1,0,41,0,22.8,0,1,474,41,1,2,1,1,2,0,4,543031564,0,1,1,50,1,340,5,0,3,1,3
758644763,3,1,9,0,0,150,80,30,1,3,364,0,5,2,216,0,0,537920237,0,36.3636,11,12,1,0,66,1,26.3333,0,0,271,16,3,7,3,0,0,0,4,543031565,1,4,3,25,4,380,4,0,3,1,1
758644751,0,0,14,0,0,364,25,17.6667,0,6,150,0,4,-2,380,50,0,537920314,0,46.1538,13,20,3,0,16,1,35.6667,0,1,495,66,1,4,0,2,3,1,5,543031565,1,7,1,80,3,216,6,0,3,1,3
758644769,4,0,5,0,0,311,100,31.8,1,1,279,3,3,1,445,100,0,537919522,0,63.6364,11,20,2,0,134,1,20.4,0,1,495,41,2,2,1,2,0,2,7,543031569,1,3,3,42.8571,2,320,7,0,3,1,1
758644743,4,1,8,0,0,279,42.8571,36.6667,1,2,311,0,7,-1,320,50,0,537920178,0,50,10,17,3,0,41,1,27.8333,0,0,501,134,1,3,0,2,1,1,3,543031569,1,2,2,100,3,445,5,0,3,1,2
758644762,5,0,3,0,0,307,50,32.1667,0,1,111,1,2,-1,386,50,5,537919798,0,75,8,19,3,0,79,0,23.5,0,0,440,83,1,1,1,2,2,1,7,543031572,0,4,1,42.8571,3,194,6,2,3,1,2
758644767,0,0,15,0,0,111,42.8571,17.2,0,5,307,0,7,1,194,0,0,537920078,0,44.4444,9,13,1,0,83,0,36,0,0,248,79,2,4,2,1,1,0,2,543031572,0,1,3,50,1,386,4,0,3,1,1
758644749,4,1,7,0,0,399,66.6667,36.6667,0,2,343,0,6,-1,416,0,5,537920232,0,50,6,15,1,0,17,0,35.8333,0,1,499,126,0,2,0,0,1,0,5,543031573,0,0,3,40,3,469,3,1,3,1,1
758644739,5,1,1,1,100,343,40,37.1667,0,1,399,0,5,1,469,0,0,537919996,0,66.6667,12,23,3,1,126,0,29,0,1,487,17,1,0,1,2,0,0,6,543031573,0,2,1,66.6667,4,416,8,0,3,1,0
758644737,2,1,12,0,0,177,66.6667,29.6667,1,4,165,0,3,-2,194,0,0,537919537,0,14.2857,7,9,1,0,17,0,34.5,0,0,289,61,1,3,1,1,2,0,2,543031576,0,3,1,50,2,226,1,1,3,1,3
758644750,2,0,11,0,0,165,50,23.5,0,4,177,1,2,2,226,50,0,537920101,0,30.7692,13,13,1,0,61,1,29.5,0,1,332,17,3,3,2,2,1,1,3,543031576,1,3,1,66.6667,1,194,4,0,3,1,1
758644741,5,1,2,0,0,386,20,35.8333,1,1,237,0,5,0,452,100,5,537920014,0,44.4444,9,19,2,0,66,1,25.5,0,1,594,90,3,0,2,1,2,1,7,543031594,1,1,0,42.8571,4,327,4,1,3,1,3
758644747,1,1,11,1,100,237,42.8571,24.2,1,4,386,0,7,0,327,50,0,537920111,0,50,10,15,0,1,90,1,31.2,0,1,560,66,3,1,2,2,2,1,5,543031594,1,0,2,20,3,452,5,0,3,1,3
758644736,0,1,16,0,0,340,75,32.6,0,5,297,1,8,-1,345,100,0,537919834,0,44.4444,9,17,3,0,5,1,41.6,0,1,601,203,1,4,0,3,2,3,6,543031570,1,0,5,66.6667,4,500,4,0,3,1,2
758644761,4,1,4,0,0,297,66.6667,35.8333,1,2,340,2,6,1,500,100,0,537920048,0,57.1429,7,24,5,0,203,0,23.6667,0,1,571,5,2,0,2,2,0,2,8,543031570,0,4,3,75,5,345,4,0,3,1,1
758644746,3,1,7,0,0,328,66.6667,30.6,0,2,220,2,3,1,443,0,84,537919564,0,83.3333,6,23,3,0,115,0,19.4,0,0,455,57,1,0,1,0,0,0,4,543031586,0,3,1,75,3,277,5,7,3,1,0
758644770,3,0,10,0,0,220,75,25.3333,0,3,328,1,4,-1,277,66.6667,20,537919962,0,0,7,10,1,0,57,0,24.8333,0,1,289,115,0,0,0,3,1,2,3,543031586,0,0,3,66.6667,1,443,0,3,3,1,1
758644765,1,0,14,0,0,215,33.3333,23.6,0,4,221,2,3,0,309,100,56,537920143,0,76.9231,13,18,4,0,94,0,37.8,0,0,331,102,0,0,0,1,0,1,4,543031554,0,0,1,100,2,323,10,6,3,1,0
758644748,0,0,16,1,100,221,100,19.4,0,5,215,1,4,0,323,50,66,537919972,0,54.5455,11,19,1,1,102,0,32.8,0,0,397,94,0,0,0,2,0,1,3,543031554,0,0,4,33.3333,1,309,6,8,3,1,0
758644758,3,0,8,0,0,260,50,21.6,0,2,316,0,4,-4,257,100,15,537919757,0,27.2727,11,15,1,0,-3,0,21,0,1,295,78,0,0,0,2,4,2,2,543031567,0,3,2,100,1,394,3,2,3,1,4
758644755,6,1,2,0,0,316,100,35.5,0,0,260,1,2,4,394,100,15,537920005,0,25,8,18,2,0,78,0,20.5,0,0,411,-3,4,3,4,1,0,1,4,543031567,0,0,1,50,3,257,2,2,3,1,0
758644753,3,0,10,0,0,184,33.3333,27.2,0,2,223,2,3,1,292,33.3333,0,537920072,0,33.3333,9,17,2,0,108,0,27,0,1,365,33,1,3,1,3,0,1,3,543031574,0,0,1,100,0,256,3,0,3,1,0
758644759,4,1,6,0,0,223,100,28.3333,0,2,184,0,3,-1,256,50,0,537919826,0,60,10,13,1,0,33,1,29,0,0,321,108,0,0,0,2,1,1,3,543031574,1,3,2,33.3333,3,292,6,0,3,1,1
758644772,1,3,13,1,100,65,85.7143,24.8,1,4,204,0,7,-4,180,0,10,537919722,0,0,6,10,1,1,115,0,37,0,0,325,120,0,1,0,3,3,0,1,543031583,0,1,3,100,1,324,0,2,3,1,4
758644752,3,0,9,0,0,204,100,32,0,2,65,2,1,4,324,0,0,537919819,0,54.5455,11,20,3,0,120,0,17.2,0,3,361,115,4,1,3,0,0,0,7,543031583,0,1,1,85.7143,2,180,6,0,3,1,0
758644740,4,0,3,1,100,431,100,31.8,1,1,269,0,6,-2,467,66.6667,15,537920161,0,55.5556,9,19,2,1,36,0,25.6,0,1,562,135,2,3,2,3,3,2,7,543031577,0,3,6,42.8571,4,404,5,2,3,1,4
758644764,3,1,6,0,0,269,42.8571,24,0,2,431,4,7,2,404,0,0,537920336,0,50,6,22,6,0,135,1,28.2,0,0,612,36,4,3,3,2,2,0,6,543031577,1,3,2,100,2,467,3,0,3,1,2
758644768,6,0,1,0,0,204,50,40,1,0,175,1,2,4,339,0,70,537920309,0,28.5714,7,18,3,0,135,2,23.6667,0,1,377,36,5,0,3,0,0,0,6,543031548,2,5,1,66.6667,3,211,2,6,3,1,1
758644757,3,1,4,0,0,175,66.6667,29.8333,1,3,204,1,6,-2,211,0,67,537920296,0,27.2727,11,9,1,0,36,2,28,0,0,264,135,2,0,0,2,3,0,2,543031548,2,1,3,50,0,339,3,6,3,1,4
